fund,fund_1,1495010,1/3/2005,
fund,fund_2,1326575,1/3/2005,
fund,fund_3,521808,1/3/2005,
fund,fund_4,536806,1/3/2005,
fund,fund_5,1172238,1/3/2005,
fund,fund_6,1310992,1/3/2005,
fund,fund_7,514121,1/3/2005,
fund,fund_8,802148,1/3/2005,
fund,fund_9,514044,1/3/2005,
fund,fund_10,754598,1/3/2005,
fund,fund_11,926559,1/3/2005,
fund,fund_12,856404,1/3/2005,
fund,fund_13,929293,1/3/2005,
fund,fund_14,932929,1/3/2005,
fund,fund_15,576514,1/3/2005,
fund,fund_16,706660,1/3/2005,
fund,fund_17,1001655,1/3/2005,
fund,fund_18,1410508,1/3/2005,
fund,fund_19,661439,1/3/2005,
fund,fund_20,1460329,1/3/2005,
fund,fund_21,1191364,1/3/2005,
fund,fund_22,1256563,1/3/2005,
fund,fund_23,632066,1/3/2005,
fund,fund_24,1201927,1/3/2005,
fund,fund_25,633974,1/3/2005,
fund,fund_26,789364,1/3/2005,
fund,fund_27,742356,1/3/2005,
fund,fund_28,1173537,1/3/2005,
fund,fund_29,626942,1/3/2005,
fund,fund_30,1139916,1/3/2005,
fund,fund_31,783334,1/3/2005,
fund,fund_32,1180203,1/3/2005,
fund,fund_33,1192712,1/3/2005,
fund,fund_34,1439105,1/3/2005,
fund,fund_35,1242713,1/3/2005,
fund,fund_36,818938,1/3/2005,
fund,fund_37,1492148,1/3/2005,
fund,fund_38,1062580,1/3/2005,
fund,fund_39,1195727,1/3/2005,
fund,fund_40,994568,1/3/2005,
fund,fund_41,1447742,1/3/2005,
fund,fund_42,1080846,1/3/2005,
fund,fund_43,1063151,1/3/2005,
fund,fund_44,661211,1/3/2005,
fund,fund_45,800688,1/3/2005,
fund,fund_46,583024,1/3/2005,
fund,fund_47,1380429,1/3/2005,
fund,fund_48,891779,1/3/2005,
fund,fund_49,989934,1/3/2005,
fund,fund_50,1015078,1/3/2005,
fund,fund_51,1207067,1/3/2005,
fund,fund_52,748388,1/3/2005,
fund,fund_53,695516,1/3/2005,
fund,fund_54,1066343,1/3/2005,
fund,fund_55,1370082,1/3/2005,
fund,fund_56,656891,1/3/2005,
fund,fund_57,825243,1/3/2005,
fund,fund_58,987798,1/3/2005,
fund,fund_59,565342,1/3/2005,
fund,fund_60,958363,1/3/2005,
fund,fund_61,769314,1/3/2005,
fund,fund_62,1032512,1/3/2005,
fund,fund_63,965654,1/3/2005,
fund,fund_64,853244,1/3/2005,
fund,fund_65,1248668,1/3/2005,
fund,fund_66,661701,1/3/2005,
fund,fund_67,1228075,1/3/2005,
fund,fund_68,739310,1/3/2005,
fund,fund_69,506474,1/3/2005,
fund,fund_70,1430775,1/3/2005,
fund,fund_71,919062,1/3/2005,
fund,fund_72,988539,1/3/2005,
fund,fund_73,1258490,1/3/2005,
fund,fund_74,920553,1/3/2005,
fund,fund_75,873355,1/3/2005,
fund,fund_76,1358050,1/3/2005,
fund,fund_77,948880,1/3/2005,
fund,fund_78,999961,1/3/2005,
fund,fund_79,1250611,1/3/2005,
fund,fund_80,1278335,1/3/2005,
fund,fund_81,1022977,1/3/2005,
fund,fund_82,1023592,1/3/2005,
fund,fund_83,1303423,1/3/2005,
fund,fund_84,947642,1/3/2005,
fund,fund_85,1376856,1/3/2005,
fund,fund_86,1456248,1/3/2005,
fund,fund_87,1278859,1/3/2005,
fund,fund_88,699243,1/3/2005,
fund,fund_89,1432017,1/3/2005,
fund,fund_90,943390,1/3/2005,
fund,fund_91,573787,1/3/2005,
fund,fund_92,1433481,1/3/2005,
fund,fund_93,614770,1/3/2005,
fund,fund_94,915570,1/3/2005,
fund,fund_95,585275,1/3/2005,
fund,fund_96,904564,1/3/2005,
fund,fund_97,1496839,1/3/2005,
fund,fund_98,1450913,1/3/2005,
fund,fund_99,651095,1/3/2005,
fund,fund_100,594743,1/3/2005,
fund,fund_101,617320,1/3/2005,
fund,fund_102,1385261,1/3/2005,
fund,fund_103,920319,1/3/2005,
fund,fund_104,533551,1/3/2005,
fund,fund_105,621927,1/3/2005,
fund,fund_106,560200,1/3/2005,
fund,fund_107,940402,1/3/2005,
fund,fund_108,731289,1/3/2005,
fund,fund_109,1192055,1/3/2005,
fund,fund_110,702339,1/3/2005,
fund,fund_111,1333342,1/3/2005,
fund,fund_112,1227840,1/3/2005,
fund,fund_113,752469,1/3/2005,
fund,fund_114,1171876,1/3/2005,
fund,fund_115,1482163,1/3/2005,
fund,fund_116,803574,1/3/2005,
fund,fund_117,693589,1/3/2005,
fund,fund_118,1125020,1/3/2005,
fund,fund_119,1236731,1/3/2005,
fund,fund_120,1085882,1/3/2005,
fund,fund_121,789411,1/3/2005,
fund,fund_122,931580,1/3/2005,
fund,fund_123,670946,1/3/2005,
fund,fund_124,751456,1/3/2005,
fund,fund_125,1433770,1/3/2005,
fund,fund_126,822341,1/3/2005,
fund,fund_127,1276069,1/3/2005,
fund,fund_128,1036264,1/3/2005,
fund,fund_129,562696,1/3/2005,
fund,fund_130,1126149,1/3/2005,
fund,fund_131,1105539,1/3/2005,
fund,fund_132,810560,1/3/2005,
fund,fund_133,972913,1/3/2005,
fund,fund_134,1363116,1/3/2005,
fund,fund_135,1256016,1/3/2005,
fund,fund_136,1391600,1/3/2005,
fund,fund_137,1105915,1/3/2005,
fund,fund_138,1262592,1/3/2005,
fund,fund_139,534063,1/3/2005,
fund,fund_140,1297885,1/3/2005,
fund,fund_141,1111137,1/3/2005,
fund,fund_142,1374284,1/3/2005,
fund,fund_143,749370,1/3/2005,
fund,fund_144,1412130,1/3/2005,
fund,fund_145,934314,1/3/2005,
fund,fund_146,1223533,1/3/2005,
fund,fund_147,936794,1/3/2005,
fund,fund_148,631961,1/3/2005,
fund,fund_149,668368,1/3/2005,
fund,fund_150,1228335,1/3/2005,
fund,fund_151,514695,1/3/2005,
fund,fund_152,1032837,1/3/2005,
fund,fund_153,682754,1/3/2005,
fund,fund_154,1150660,1/3/2005,
fund,fund_155,568851,1/3/2005,
fund,fund_156,636493,1/3/2005,
fund,fund_157,1027317,1/3/2005,
fund,fund_158,1306212,1/3/2005,
fund,fund_159,1269359,1/3/2005,
fund,fund_160,1398280,1/3/2005,
fund,fund_161,1087146,1/3/2005,
fund,fund_162,556950,1/3/2005,
fund,fund_163,722751,1/3/2005,
fund,fund_164,525858,1/3/2005,
fund,fund_165,1202861,1/3/2005,
fund,fund_166,1354731,1/3/2005,
fund,fund_167,1059207,1/3/2005,
fund,fund_168,1140255,1/3/2005,
fund,fund_169,1177909,1/3/2005,
fund,fund_170,733848,1/3/2005,
fund,fund_171,1277526,1/3/2005,
fund,fund_172,1140919,1/3/2005,
fund,fund_173,966135,1/3/2005,
fund,fund_174,926925,1/3/2005,
fund,fund_175,1033056,1/3/2005,
fund,fund_176,1109436,1/3/2005,
fund,fund_177,996491,1/3/2005,
